chapter,page,url,description,note
0,0,https://www.gutenberg.org/cache/epub/67098/images/cover.jpg,Cover illustration,
0,1,https://www.gutenberg.org/cache/epub/67098/images/map.jpg,Map of the Hundred Acre Wood,
1,1,https://www.gutenberg.org/cache/epub/67098/images/illus1.jpg,Edward Bear coming downstairs bump bump bump,
1,2,https://www.gutenberg.org/cache/epub/67098/images/illus2.jpg,Winnie-the-Pooh sitting by the fire,
1,3,https://www.gutenberg.org/cache/epub/67098/images/illus3.jpg,Pooh lived under the name of Sanders,
1,4,https://www.gutenberg.org/cache/epub/67098/images/illus4.jpg,Pooh sat at the foot of the tree and began to think,
1,5,https://www.gutenberg.org/cache/epub/67098/images/illus5.jpg,Pooh climbing the honey tree,
1,6,https://www.gutenberg.org/cache/epub/67098/images/illus6.jpg,Pooh fell into the gorse-bush,
1,7,https://www.gutenberg.org/cache/epub/67098/images/illus7.jpg,Christopher Robin with his balloon,
1,8,https://www.gutenberg.org/cache/epub/67098/images/illus8.jpg,Pooh rolling in the muddy place,
1,9,https://www.gutenberg.org/cache/epub/67098/images/illus9.jpg,Pooh floating up with the blue balloon,
1,10,https://www.gutenberg.org/cache/epub/67098/images/illus10.jpg,Pooh hanging from the balloon near the tree,
1,11,https://www.gutenberg.org/cache/epub/67098/images/illus11.jpg,Christopher Robin walking with his umbrella,
1,12,https://www.gutenberg.org/cache/epub/67098/images/illus12.jpg,Bees buzzing around the cloud,
1,13,https://www.gutenberg.org/cache/epub/67098/images/illus13.jpg,Christopher Robin shooting at the balloon,
1,14,https://www.gutenberg.org/cache/epub/67098/images/illus14.jpg,Pooh with his arms stuck up in the air,
1,15,https://www.gutenberg.org/cache/epub/67098/images/illus15.jpg,Christopher Robin dragging Pooh by the leg,
1,16,https://www.gutenberg.org/cache/epub/67098/images/illus16.jpg,Pooh going bump bump bump up the stairs,
1,17,https://www.gutenberg.org/cache/epub/67098/images/illus17.jpg,Chapter one decorative tailpiece,
2,1,https://www.gutenberg.org/cache/epub/67098/images/illus18.jpg,Pooh on his way to visit Rabbit,
2,2,https://www.gutenberg.org/cache/epub/67098/images/illus19.jpg,Pooh at Rabbit's front door,
2,3,https://www.gutenberg.org/cache/epub/67098/images/illus20.jpg,Pooh eating honey at Rabbit's house,
2,4,https://www.gutenberg.org/cache/epub/67098/images/illus21.jpg,Pooh stuck in Rabbit's doorway,
2,5,https://www.gutenberg.org/cache/epub/67098/images/illus22.jpg,Christopher Robin reading to Pooh while stuck,
2,6,https://www.gutenberg.org/cache/epub/67098/images/illus23.jpg,Rabbit using Pooh's legs as a towel-horse,
2,7,https://www.gutenberg.org/cache/epub/67098/images/illus24.jpg,Everyone pulling Pooh out of the hole,
2,8,https://www.gutenberg.org/cache/epub/67098/images/illus25.jpg,Chapter two decorative tailpiece,
3,1,https://www.gutenberg.org/cache/epub/67098/images/illus26.jpg,Piglet in his grand house,
3,2,https://www.gutenberg.org/cache/epub/67098/images/illus27.jpg,Pooh and Piglet tracking in the snow,
3,3,https://www.gutenberg.org/cache/epub/67098/images/illus28.jpg,Following the footprints round and round,
3,4,https://www.gutenberg.org/cache/epub/67098/images/illus29.jpg,More and more footprints appearing,
3,5,https://www.gutenberg.org/cache/epub/67098/images/illus30.jpg,Christopher Robin up in the tree watching,
3,6,https://www.gutenberg.org/cache/epub/67098/images/illus31.jpg,Piglet running home to bed,
3,7,https://www.gutenberg.org/cache/epub/67098/images/illus32.jpg,Chapter three decorative tailpiece,
4,1,https://www.gutenberg.org/cache/epub/67098/images/illus33.jpg,Eeyore by the stream,
4,2,https://www.gutenberg.org/cache/epub/67098/images/illus34.jpg,Eeyore looking at his reflection gloomily,
4,3,https://www.gutenberg.org/cache/epub/67098/images/illus35.jpg,Pooh finding Eeyore without his tail,
4,4,https://www.gutenberg.org/cache/epub/67098/images/illus36.jpg,Pooh searching for the tail,
4,5,https://www.gutenberg.org/cache/epub/67098/images/illus37.jpg,Owl in his house,
4,6,https://www.gutenberg.org/cache/epub/67098/images/illus38.jpg,Pooh noticing the bell-pull,
4,7,https://www.gutenberg.org/cache/epub/67098/images/illus39.jpg,The tail used as a bell-pull at Owl's house,
